No,HouseAgeYears,UnitAreaPrice
1,0,70.1
2,0,50.8
3,0,45.4
4,0,45.7
5,0,71
6,0,45.5
7,0,52.2
8,0,55.2
9,0,73.6
10,0,43.5
11,0,63.3
12,0,44
13,0,37.9
14,0,44.9
15,0,52.2
16,0,69.7
17,0,55.3
18,1,50.7
19,1.1,54.4
20,1.1,48.6
21,1.1,49
22,1.1,51.8
23,1.1,45.1
24,1.5,47.7
25,1.5,49.7
26,1.7,50.4
27,1.8,27
28,1.9,40.5
29,2,33.4
30,2,25.6
31,2.1,45.5
32,2.3,45.4
33,2.5,36.9
34,2.6,55
35,2.6,31.1
36,2.7,53.9
37,3.1,56.2
38,3.1,47.7
39,3.2,43.2
40,3.4,54.4
41,3.5,53.5
42,3.5,57.8
43,3.5,36.7
44,3.6,58.8
45,3.6,61.9
46,3.7,41.6
47,3.8,55
48,3.8,60.7
49,3.9,31.7
50,3.9,56.8
51,4,28.4
52,4,30.7
53,4,33.4
54,4,28.6
55,4.1,62.1
56,4.1,31.3
57,4.1,51.7
58,4.3,45.2
59,4.5,29.3
60,4.6,53.7
61,4.7,44.8
62,4.8,21.7
63,4.9,44.7
64,5,43.1
65,5.1,28.9
66,5.1,35.6
67,5.2,52.2
68,5.2,22.3
69,5.3,63.2
70,5.4,49.5
71,5.6,24.7
72,5.6,50
73,5.7,53.5
74,5.9,52.7
75,5.9,56.3
76,6.2,58
77,6.2,31.3
78,6.3,58.1
79,6.4,59.5
80,6.4,62.2
81,6.5,40.9
82,6.5,63.9
83,6.6,59
84,6.6,58.1
85,6.8,54.4
86,7.1,32.1
87,7.1,57.1
88,7.1,49.8
89,7.5,40.8
90,7.6,27.7
91,7.8,38.4
92,7.8,47
93,8,51.8
94,8,23.9
95,8,47.3
96,8.1,51.6
97,8.1,52.5
98,8.3,42.8
99,8.4,23.5
100,8.5,56.8
101,8.5,55.5
102,8.9,48
103,8.9,22
104,9,38.5
105,9.1,43.2
106,9.1,42.3
107,9.7,49.3
108,9.9,23.1
109,9.9,57.4
110,10,43.5
111,10.1,47.9
112,10.3,24.7
113,10.3,45.3
114,10.4,33.6
115,10.4,27.3
116,10.5,51.6
117,10.8,117.5
118,11,21.3
119,11,28.8
120,11.4,46.8
121,11.5,26.2
122,11.6,39.4
123,11.6,55.9
124,11.8,40.3
125,11.9,28.4
126,11.9,46.6
127,12,25.3
128,12,28.9
129,12.2,26.6
130,12.2,30.1
131,12.3,29.5
132,12.4,31.3
133,12.5,42
134,12.5,34.1
135,12.6,42.5
136,12.7,32.9
137,12.7,37.3
138,12.7,28.5
139,12.8,21.4
140,12.8,40.6
141,12.9,42.5
142,12.9,39.3
143,12.9,33.1
144,13,39.3
145,13,39
146,13,40.5
147,13,37
148,13.1,36.7
149,13.1,45.9
150,13.1,32.2
151,13.2,34.3
152,13.2,48.1
153,13.2,37.8
154,13.2,29.3
155,13.2,30.8
156,13.2,42.3
157,13.3,47.3
158,13.3,54.8
159,13.3,38.9
160,13.3,42.4
161,13.3,31.3
162,13.3,42
163,13.5,23.6
164,13.5,18.6
165,13.6,15.9
166,13.6,13
167,13.6,48
168,13.6,47.4
169,13.6,40.1
170,13.6,43.8
171,13.6,19.2
172,13.7,30.6
173,13.7,41.4
174,13.7,15.4
175,13.8,20
176,13.8,15.6
177,13.9,27.3
178,13.9,19.2
179,13.9,44.5
180,14,42.6
181,14.1,21.8
182,14.1,53.3
183,14.2,24.8
184,14.4,50.2
185,14.6,26.5
186,14.7,24.6
187,14.7,22.9
188,14.7,30.5
189,14.7,23
190,14.8,7.6
191,15,34.4
192,15,20.9
193,15.1,43.7
194,15.2,29.3
195,15.2,34.6
196,15.4,55.1
197,15.5,37.4
198,15.6,46.1
199,15.6,27.3
200,15.6,37.5
201,15.7,38.1
202,15.9,53
203,15.9,23.6
204,15.9,42.1
205,16,11.6
206,16.1,51.7
207,16.1,35.6
208,16.1,12.9
209,16.2,46.2
210,16.2,51.4
211,16.2,14.7
212,16.2,24.4
213,16.2,55
214,16.2,25.6
215,16.3,20.5
216,16.3,29.3
217,16.4,51
218,16.4,45.1
219,16.4,40.6
220,16.4,53
221,16.4,24.7
222,16.4,41.2
223,16.5,49.3
224,16.5,12.8
225,16.5,23.2
226,16.6,59.6
227,16.6,51
228,16.7,16.7
229,16.8,18.2
230,16.9,42.3
231,16.9,18.3
232,16.9,20.7
233,16.9,37.7
234,16.9,40.3
235,17,18.8
236,17,30.7
237,17.1,40
238,17.2,27.7
239,17.2,47.1
240,17.2,40.1
241,17.3,43.9
242,17.3,29.5
243,17.4,25.5
244,17.4,11.2
245,17.5,25.3
246,17.5,38.2
247,17.5,24.5
248,17.6,31.1
249,17.6,23
250,17.7,37.4
251,17.7,28.8
252,17.7,26.5
253,17.8,23.7
254,17.9,22.1
255,18,26.5
256,18,39.5
257,18,26.6
258,18,15
259,18.1,20.9
260,18.1,29.7
261,18.2,31.6
262,18.2,21.8
263,18.2,43.1
264,18.3,46.6
265,18.4,25.7
266,18.5,28.1
267,18.8,40.6
268,18.9,20.8
269,19,22.3
270,19.1,34
271,19.2,47
272,19.2,39.6
273,19.2,48.1
274,19.2,32.9
275,19.5,42.2
276,19.8,37.5
277,20,29.4
278,20.2,22.8
279,20.3,46.7
280,20.4,23.8
281,20.5,25.6
282,20.6,21.8
283,20.6,46.4
284,20.9,25.7
285,21.2,27.7
286,21.2,42.5
287,21.3,42.2
288,21.7,42
289,21.7,44.2
290,21.7,23.1
291,21.7,23.8
292,22.2,44
293,22.8,36.6
294,23,25.3
295,23,37.2
296,24,14.4
297,24.2,13.4
298,25.3,17.7
299,25.3,30.6
300,25.6,15.6
301,25.9,22.1
302,26.4,38.1
303,26.6,37.5
304,26.8,35.5
305,26.9,15.5
306,27.1,17.4
307,27.3,36.5
308,27.5,41
309,27.6,37.4
310,28,40.8
311,28.2,43.4
312,28.4,34.6
313,28.6,42.5
314,29.1,40.3
315,29.3,27
316,29.3,40.2
317,29.4,13.2
318,29.6,25
319,29.6,37.5
320,30,22.8
321,30.1,55.3
322,30.2,36.5
323,30.3,22.6
324,30.3,19.1
325,30.4,36.2
326,30.4,25.9
327,30.6,53.3
328,30.6,48.5
329,30.7,18.3
330,30.8,36.8
331,30.9,12.2
332,30.9,39.7
333,31,19
334,31.3,20.7
335,31.3,30.9
336,31.4,34.1
337,31.4,21.5
338,31.5,32.5
339,31.5,17.4
340,31.5,36.3
341,31.7,18.8
342,31.7,13.7
343,31.7,13.8
344,31.9,16.1
345,32,37.9
346,32,12.8
347,32.1,27
348,32.3,48
349,32.4,40.2
350,32.5,36.3
351,32.6,40.6
352,32.6,24.7
353,32.7,30.5
354,32.8,48.2
355,32.8,38.6
356,32.9,47.1
357,33,42
358,33.2,46.1
359,33.3,39.4
360,33.4,42.2
361,33.5,23.5
362,33.5,46.6
363,33.6,41.9
364,33.6,42.9
365,33.9,41.5
366,34,39.1
367,34.4,34.1
368,34.4,48.2
369,34.5,40.3
370,34.5,46
371,34.6,26.9
372,34.6,41.2
373,34.7,41.1
374,34.8,41.4
375,34.8,44.3
376,34.8,40.9
377,34.9,39.7
378,34.9,28.5
379,35.3,42.3
380,35.3,33.1
381,35.4,78
382,35.5,40.8
383,35.7,50.5
384,35.8,48.5
385,35.9,61.5
386,35.9,36.8
387,36.1,34.7
388,36.6,38.3
389,36.6,38.1
390,37.1,31.9
391,37.2,78.3
392,37.3,37.4
393,37.7,37
394,37.8,39.7
395,37.9,34.2
396,38,35.7
397,38.2,29.8
398,38.3,31.5
399,38.3,38.4
400,38.5,41
401,38.5,34.2
402,38.6,62.9
403,39.2,30
404,39.6,38.8
405,39.7,32.4
406,39.8,39.6
407,40.1,44.3
408,40.9,41
409,40.9,67.7
410,41.3,60.7
411,41.3,35.1
412,41.4,63.3
413,42.7,35.3
414,43.8,42.7
