SrNo,City,,Month,Day,Year,AvgTemperature
1,Bombay (Mumbai),,1,1,1995,71.8
2,Bombay (Mumbai),,2,1,1995,78.9
3,Bombay (Mumbai),,3,1,1995,74.2
4,Bombay (Mumbai),,4,1,1995,77.9
5,Bombay (Mumbai),,5,1,1995,86.2
6,Bombay (Mumbai),,6,1,1995,87.2
7,Bombay (Mumbai),,7,1,1995,87.3
8,Bombay (Mumbai),,8,1,1995,81.3
9,Bombay (Mumbai),,9,1,1995,78.4
10,Bombay (Mumbai),,10,1,1995,81.9
11,Bombay (Mumbai),,11,1,1995,82.5
12,Bombay (Mumbai),,12,1,1995,76.5
13,Bombay (Mumbai),,1,1,1996,75
14,Bombay (Mumbai),,2,1,1996,76.3
15,Bombay (Mumbai),,3,1,1996,80.8
16,Bombay (Mumbai),,4,1,1996,84.7
17,Bombay (Mumbai),,5,1,1996,85.3
18,Bombay (Mumbai),,6,1,1996,86.7
19,Bombay (Mumbai),,7,1,1996,85.1
20,Bombay (Mumbai),,8,1,1996,83.3
21,Bombay (Mumbai),,9,1,1996,84
22,Bombay (Mumbai),,10,1,1996,82
23,Bombay (Mumbai),,11,1,1996,80.7
24,Bombay (Mumbai),,12,1,1996,78.7
25,Bombay (Mumbai),,1,1,1997,77.2
26,Bombay (Mumbai),,2,1,1997,70.7
27,Bombay (Mumbai),,3,1,1997,82.9
28,Bombay (Mumbai),,4,1,1997,79.4
29,Bombay (Mumbai),,5,1,1997,85.6
30,Bombay (Mumbai),,6,1,1997,80.8
31,Bombay (Mumbai),,7,1,1997,83.8
32,Bombay (Mumbai),,8,1,1997,81.2
33,Bombay (Mumbai),,9,1,1997,80.7
34,Bombay (Mumbai),,10,1,1997,83.9
35,Bombay (Mumbai),,11,1,1997,86.1
36,Bombay (Mumbai),,12,1,1997,83.2
37,Bombay (Mumbai),,1,1,1998,81.6
38,Bombay (Mumbai),,2,1,1998,82.1
39,Bombay (Mumbai),,3,1,1998,80.4
40,Bombay (Mumbai),,4,1,1998,87.7
41,Bombay (Mumbai),,5,1,1998,84.2
42,Bombay (Mumbai),,6,1,1998,89.5
43,Bombay (Mumbai),,7,1,1998,79
44,Bombay (Mumbai),,8,1,1998,83.5
45,Bombay (Mumbai),,9,1,1998,85
46,Bombay (Mumbai),,10,1,1998,85.1
47,Bombay (Mumbai),,11,1,1998,84.5
48,Bombay (Mumbai),,12,1,1998,81.1
49,Bombay (Mumbai),,1,1,1999,78
50,Bombay (Mumbai),,2,1,1999,71.8
51,Bombay (Mumbai),,3,1,1999,88.1
52,Bombay (Mumbai),,4,1,1999,82.2
53,Bombay (Mumbai),,5,1,1999,84.4
54,Bombay (Mumbai),,6,1,1999,84.1
55,Bombay (Mumbai),,7,1,1999,83.7
56,Bombay (Mumbai),,8,1,1999,82.9
57,Bombay (Mumbai),,9,1,1999,82.6
58,Bombay (Mumbai),,10,1,1999,81.4
59,Bombay (Mumbai),,11,1,1999,83.3
60,Bombay (Mumbai),,12,1,1999,82
61,Bombay (Mumbai),,1,1,2000,77.8
62,Bombay (Mumbai),,2,1,2000,75.6
63,Bombay (Mumbai),,3,1,2000,81.6
64,Bombay (Mumbai),,4,1,2000,88
65,Bombay (Mumbai),,5,1,2000,83.5
66,Bombay (Mumbai),,6,1,2000,82.9
67,Bombay (Mumbai),,7,1,2000,80.8
68,Bombay (Mumbai),,8,1,2000,84.6
69,Bombay (Mumbai),,9,1,2000,80.4
70,Bombay (Mumbai),,10,1,2000,83.6
71,Bombay (Mumbai),,11,1,2000,82.4
72,Bombay (Mumbai),,12,1,2000,80.6
73,Bombay (Mumbai),,1,1,2001,72.3
74,Bombay (Mumbai),,2,1,2001,74.7
75,Bombay (Mumbai),,3,1,2001,79.9
76,Bombay (Mumbai),,4,1,2001,82.3
77,Bombay (Mumbai),,5,1,2001,84
78,Bombay (Mumbai),,6,1,2001,84.9
79,Bombay (Mumbai),,7,1,2001,81.3
80,Bombay (Mumbai),,8,1,2001,83.6
81,Bombay (Mumbai),,9,1,2001,84.3
82,Bombay (Mumbai),,10,1,2001,83.6
83,Bombay (Mumbai),,11,1,2001,84.5
84,Bombay (Mumbai),,12,1,2001,76.8
85,Bombay (Mumbai),,1,1,2002,76.6
86,Bombay (Mumbai),,2,1,2002,77
87,Bombay (Mumbai),,3,1,2002,77.7
88,Bombay (Mumbai),,4,1,2002,82.5
89,Bombay (Mumbai),,5,1,2002,83
90,Bombay (Mumbai),,6,1,2002,86
91,Bombay (Mumbai),,7,1,2002,85.7
92,Bombay (Mumbai),,8,1,2002,83.8
93,Bombay (Mumbai),,9,1,2002,82.6
94,Bombay (Mumbai),,10,1,2002,89.2
95,Bombay (Mumbai),,11,1,2002,84
96,Bombay (Mumbai),,12,1,2002,77.5
97,Bombay (Mumbai),,1,1,2003,70.5
98,Bombay (Mumbai),,2,1,2003,75.9
99,Bombay (Mumbai),,3,1,2003,81.9
100,Bombay (Mumbai),,4,1,2003,82.5
101,Bombay (Mumbai),,5,1,2003,82.5
102,Bombay (Mumbai),,6,1,2003,84.3
103,Bombay (Mumbai),,7,1,2003,81.6
104,Bombay (Mumbai),,8,1,2003,85
105,Bombay (Mumbai),,9,1,2003,84.1
106,Bombay (Mumbai),,10,1,2003,85
107,Bombay (Mumbai),,11,1,2003,86.5
108,Bombay (Mumbai),,12,1,2003,79.7
109,Bombay (Mumbai),,1,1,2004,69.7
110,Bombay (Mumbai),,2,1,2004,67.2
111,Bombay (Mumbai),,3,1,2004,81.6
112,Bombay (Mumbai),,4,1,2004,79.5
113,Bombay (Mumbai),,5,1,2004,84.6
114,Bombay (Mumbai),,6,1,2004,86.2
115,Bombay (Mumbai),,7,1,2004,84.2
116,Bombay (Mumbai),,8,1,2004,78.4
117,Bombay (Mumbai),,9,1,2004,83.7
118,Bombay (Mumbai),,10,1,2004,83.7
119,Bombay (Mumbai),,11,1,2004,82.1
120,Bombay (Mumbai),,12,1,2004,81
121,Bombay (Mumbai),,1,1,2005,72.2
122,Bombay (Mumbai),,2,1,2005,78.2
123,Bombay (Mumbai),,3,1,2005,79.9
124,Bombay (Mumbai),,4,1,2005,82
125,Bombay (Mumbai),,5,1,2005,83.4
126,Bombay (Mumbai),,6,1,2005,87.4
127,Bombay (Mumbai),,7,1,2005,80.7
128,Bombay (Mumbai),,8,1,2005,77.6
129,Bombay (Mumbai),,9,1,2005,82.3
130,Bombay (Mumbai),,10,1,2005,80
131,Bombay (Mumbai),,11,1,2005,77.9
132,Bombay (Mumbai),,12,1,2005,76.5
133,Bombay (Mumbai),,1,1,2006,73.6
134,Bombay (Mumbai),,2,1,2006,78.8
135,Bombay (Mumbai),,3,1,2006,81.1
136,Bombay (Mumbai),,4,1,2006,82.3
137,Bombay (Mumbai),,5,1,2006,82.8
138,Bombay (Mumbai),,6,1,2006,78
139,Bombay (Mumbai),,7,1,2006,79.5
140,Bombay (Mumbai),,8,1,2006,80.3
141,Bombay (Mumbai),,9,1,2006,78.7
142,Bombay (Mumbai),,10,1,2006,78.5
143,Bombay (Mumbai),,11,1,2006,83.7
144,Bombay (Mumbai),,12,1,2006,80.8
145,Bombay (Mumbai),,1,1,2007,75.7
146,Bombay (Mumbai),,2,1,2007,84.4
147,Bombay (Mumbai),,3,1,2007,78.3
148,Bombay (Mumbai),,4,1,2007,83.2
149,Bombay (Mumbai),,5,1,2007,85.7
150,Bombay (Mumbai),,6,1,2007,85.7
151,Bombay (Mumbai),,7,1,2007,81.6
152,Bombay (Mumbai),,8,1,2007,79.6
153,Bombay (Mumbai),,9,1,2007,82
154,Bombay (Mumbai),,10,1,2007,83.8
155,Bombay (Mumbai),,11,1,2007,82.8
156,Bombay (Mumbai),,12,1,2007,80.9
157,Bombay (Mumbai),,1,1,2008,74
158,Bombay (Mumbai),,2,1,2008,72.8
159,Bombay (Mumbai),,3,1,2008,83
160,Bombay (Mumbai),,4,1,2008,79.3
161,Bombay (Mumbai),,5,1,2008,85.6
162,Bombay (Mumbai),,6,1,2008,88.4
163,Bombay (Mumbai),,7,1,2008,81.8
164,Bombay (Mumbai),,8,1,2008,82.5
165,Bombay (Mumbai),,9,1,2008,83.4
166,Bombay (Mumbai),,10,1,2008,81.6
167,Bombay (Mumbai),,11,1,2008,84.7
168,Bombay (Mumbai),,12,1,2008,83.8
169,Bombay (Mumbai),,1,1,2009,76
170,Bombay (Mumbai),,2,1,2009,77.7
171,Bombay (Mumbai),,3,1,2009,86.7
172,Bombay (Mumbai),,4,1,2009,88.7
173,Bombay (Mumbai),,5,1,2009,84.8
174,Bombay (Mumbai),,6,1,2009,87.9
175,Bombay (Mumbai),,7,1,2009,81.5
176,Bombay (Mumbai),,8,1,2009,83.5
177,Bombay (Mumbai),,9,1,2009,83.5
178,Bombay (Mumbai),,10,1,2009,85.6
179,Bombay (Mumbai),,11,1,2009,85.7
180,Bombay (Mumbai),,12,1,2009,80.2
181,Bombay (Mumbai),,1,1,2010,80.9
182,Bombay (Mumbai),,2,1,2010,79.7
183,Bombay (Mumbai),,3,1,2010,85.3
184,Bombay (Mumbai),,4,1,2010,83.2
185,Bombay (Mumbai),,5,1,2010,88.2
186,Bombay (Mumbai),,6,1,2010,88.3
187,Bombay (Mumbai),,7,1,2010,85.7
188,Bombay (Mumbai),,8,1,2010,81
189,Bombay (Mumbai),,9,1,2010,82.2
190,Bombay (Mumbai),,10,1,2010,87.9
191,Bombay (Mumbai),,11,1,2010,85
192,Bombay (Mumbai),,12,1,2010,82.7
193,Bombay (Mumbai),,1,1,2011,73.1
194,Bombay (Mumbai),,2,1,2011,79.5
195,Bombay (Mumbai),,3,1,2011,83.8
196,Bombay (Mumbai),,4,1,2011,80.5
197,Bombay (Mumbai),,5,1,2011,85.2
198,Bombay (Mumbai),,6,1,2011,88.3
199,Bombay (Mumbai),,7,1,2011,85.3
200,Bombay (Mumbai),,8,1,2011,79.8
201,Bombay (Mumbai),,9,1,2011,80.5
202,Bombay (Mumbai),,10,1,2011,83.2
203,Bombay (Mumbai),,11,1,2011,86.2
204,Bombay (Mumbai),,12,1,2011,84.9
205,Bombay (Mumbai),,1,1,2012,74.3
206,Bombay (Mumbai),,2,1,2012,79.7
207,Bombay (Mumbai),,3,1,2012,74
208,Bombay (Mumbai),,4,1,2012,85.3
209,Bombay (Mumbai),,5,1,2012,84
210,Bombay (Mumbai),,6,1,2012,86.9
211,Bombay (Mumbai),,7,1,2012,82.8
212,Bombay (Mumbai),,8,1,2012,83.6
213,Bombay (Mumbai),,9,1,2012,80.8
214,Bombay (Mumbai),,10,1,2012,82.1
215,Bombay (Mumbai),,11,1,2012,83.4
216,Bombay (Mumbai),,12,1,2012,77.5
217,Bombay (Mumbai),,1,1,2013,78
218,Bombay (Mumbai),,2,1,2013,77.6
219,Bombay (Mumbai),,3,1,2013,84.5
220,Bombay (Mumbai),,4,1,2013,82
221,Bombay (Mumbai),,5,1,2013,87.5
222,Bombay (Mumbai),,6,1,2013,87.6
223,Bombay (Mumbai),,7,1,2013,81
224,Bombay (Mumbai),,8,1,2013,78.6
225,Bombay (Mumbai),,9,1,2013,82.8
226,Bombay (Mumbai),,10,1,2013,83.3
227,Bombay (Mumbai),,11,1,2013,84.2
228,Bombay (Mumbai),,12,1,2013,84.6
229,Bombay (Mumbai),,1,1,2014,77.8
230,Bombay (Mumbai),,2,1,2014,77.7
231,Bombay (Mumbai),,3,1,2014,75.8
232,Bombay (Mumbai),,4,1,2014,82.5
233,Bombay (Mumbai),,5,1,2014,85.6
234,Bombay (Mumbai),,6,1,2014,87.1
235,Bombay (Mumbai),,7,1,2014,87.8
236,Bombay (Mumbai),,8,1,2014,82.3
237,Bombay (Mumbai),,9,1,2014,78.3
238,Bombay (Mumbai),,10,1,2014,82.9
239,Bombay (Mumbai),,11,1,2014,85.1
240,Bombay (Mumbai),,12,1,2014,82.9
241,Bombay (Mumbai),,1,1,2015,73.5
242,Bombay (Mumbai),,2,1,2015,79.5
243,Bombay (Mumbai),,3,1,2015,75.4
244,Bombay (Mumbai),,4,1,2015,84.2
245,Bombay (Mumbai),,5,1,2015,86.1
246,Bombay (Mumbai),,6,1,2015,88.5
247,Bombay (Mumbai),,7,1,2015,85.7
248,Bombay (Mumbai),,8,1,2015,84.4
249,Bombay (Mumbai),,9,1,2015,83.4
250,Bombay (Mumbai),,10,1,2015,89
251,Bombay (Mumbai),,11,1,2015,86.6
252,Bombay (Mumbai),,12,1,2015,85.6
253,Bombay (Mumbai),,1,1,2016,83.5
254,Bombay (Mumbai),,2,1,2016,80.5
255,Bombay (Mumbai),,3,1,2016,84.7
256,Bombay (Mumbai),,4,1,2016,83
257,Bombay (Mumbai),,5,1,2016,85.9
258,Bombay (Mumbai),,6,1,2016,89.9
259,Bombay (Mumbai),,7,1,2016,82
260,Bombay (Mumbai),,8,1,2016,80.6
261,Bombay (Mumbai),,9,1,2016,82.7
262,Bombay (Mumbai),,10,1,2016,79.4
263,Bombay (Mumbai),,11,1,2016,86.7
264,Bombay (Mumbai),,12,1,2016,82.4
265,Bombay (Mumbai),,1,1,2017,78.6
266,Bombay (Mumbai),,2,1,2017,80.4
267,Bombay (Mumbai),,3,1,2017,87
268,Bombay (Mumbai),,4,1,2017,84
269,Bombay (Mumbai),,5,1,2017,86.3
270,Bombay (Mumbai),,6,1,2017,88.2
271,Bombay (Mumbai),,7,1,2017,83.1
272,Bombay (Mumbai),,8,1,2017,83
273,Bombay (Mumbai),,9,1,2017,82.3
274,Bombay (Mumbai),,10,1,2017,86.7
275,Bombay (Mumbai),,11,1,2017,86.6
276,Bombay (Mumbai),,12,1,2017,83.5
277,Bombay (Mumbai),,1,1,2018,77.2
278,Bombay (Mumbai),,2,1,2018,81.4
279,Bombay (Mumbai),,3,1,2018,84.7
280,Bombay (Mumbai),,4,1,2018,83.6
281,Bombay (Mumbai),,5,1,2018,85.7
282,Bombay (Mumbai),,6,1,2018,89.5
283,Bombay (Mumbai),,7,1,2018,84
284,Bombay (Mumbai),,8,1,2018,83.1
285,Bombay (Mumbai),,9,1,2018,82.5
286,Bombay (Mumbai),,10,1,2018,89.1
287,Bombay (Mumbai),,11,1,2018,86.5
288,Bombay (Mumbai),,12,1,2018,82.8
289,Bombay (Mumbai),,1,1,2019,76.7
290,Bombay (Mumbai),,2,1,2019,77.5
291,Bombay (Mumbai),,3,1,2019,79.4
292,Bombay (Mumbai),,4,1,2019,82.3
293,Bombay (Mumbai),,5,1,2019,85.1
294,Bombay (Mumbai),,6,1,2019,87.9
295,Bombay (Mumbai),,7,1,2019,79.4
296,Bombay (Mumbai),,8,1,2019,83.2
297,Bombay (Mumbai),,9,1,2019,80.9
298,Bombay (Mumbai),,10,1,2019,84
299,Bombay (Mumbai),,11,1,2019,84
300,Bombay (Mumbai),,12,1,2019,84.9
301,Bombay (Mumbai),,1,1,2020,74
302,Bombay (Mumbai),,2,1,2020,76.7
303,Bombay (Mumbai),,3,1,2020,81.8
304,Bombay (Mumbai),,4,1,2020,84.6
305,Bombay (Mumbai),,5,1,2020,87.3
